x1,x2
2.457689599068709,5.2535837411235935
7.463877102266402,5.44385328772369
5.1129728722557095,1.5554163678922197
25.0,22.0
2.4,5.2
0.9,0.6
22.0,10.0
1.4495279133915184,1.151698520360946
6.8,6.2
3.7,3.8
4.597983861099485,3.1976347286911704
5.581469627568628,0.7081094883386669
2.6,4.7
5.600836976494888,0.4927215492169181
6.3,5.9
6.9,5.1
0.5752019072511405,1.0900541434967748
3.5651785121966237,3.0201388351253566
1.5703466797631134,4.585347189575143
2.0,4.8
4.0,3.2
2.555907395734328,5.157248323472629
6.99221346695851,6.1712773247032375
2.1669829298527983,5.779392957348128
7.381456462151744,5.348600661340427
24.0,28.0
1.1,1.5
5.6,1.1
4.653528664177849,3.2454019823591063
12.0,25.0
2.390433814691232,4.997519867925036
5.5,0.7
3.611788761544909,3.146194115932704
2.4442500940899,5.08493408790052
3.5,3.1
1.2014335984930735,0.9006187044483615
1.6881817418588692,4.949204202554702
1.426548384112823,4.483105093630034
1.9396077070030144,5.349663495920879
0.8631025090288523,1.1002133495097497
4.359813796401707,3.619530367812601
30.0,25.0
3.804571453353783,3.826831465852962
2.327917627694517,5.618845828093441
2.293335032251474,5.607923683707345
6.5,5.5
4.7264730574733855,0.5086555409256643
28.0,18.0
4.9,0.5
3.9541914527202007,3.056499242529316
7.285997353410731,5.359316030891933
2.427859358768006,5.214002297096887
1.7279211453625645,5.002622257462813
2.0376216616940237,4.900575188147325
2.496100266116811,4.816193402550978
1.3,0.8
2.2153408483800745,5.56205088891877
0.7,1.0
1.3010622541170511,1.1780711345389645
1.4,1.1
20.0,15.0
1.0,1.2
0.8232298160700303,0.488810887031337
6.286326305081415,5.799181222764497
5.735268944836164,1.1561011210702457
3.5321253754812605,3.002447068562761
6.740084528175301,6.057806748029957
6.375754587100625,5.72514130161732
3.35292730834793,2.9466474910816456
0.818288454671527,0.7467049606408835
4.459659289286452,3.617091088328468
0.7479729072068123,0.8913425133567927
4.8,1.0
4.88120345228103,0.4951084968637479
7.302347272610255,5.47391753070906
4.9054140361568725,0.9940088906816495
6.258152991330188,5.844517784880252
6.412867765966945,5.66587577736154
7.4,5.4
6.521513076194758,5.526399602076612
5.002957105750859,0.4770434810142062
2.573333276348148,4.523503244659681
4.2,2.8
7.075596346946348,4.957348433481258
1.920568887072002,4.756433538412192
17.0,12.0
1.5,4.5
5.1,1.7
5.2,1.3
4.464005534319582,3.1896657256798067
15.0,20.0
1.3757215496609023,4.299038046635477
7.143671719175673,5.801499294247322
18.0,28.0
4.151230198033846,2.7385308725114155
4.6,3.3
3.341276046517472,2.980330380687822
2.2,5.6
6.975070847276081,5.062878415233571
4.4,3.6
